Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
HDR,0.0,100.0,2918,2918,940,0,940,0,0,1,940,0,0,939,0,0,1,0,sg_93
Reference,51.45631068,48.54368932,2042,2037,103,53,50,0,36,21,9,21,6,8,14,0,0,1,sg_94
HDR,0.0,100.0,2042,2037,1930,0,1930,0,12,7,1930,0,0,1915,0,8,3,4,sg_94
Reference,52.74027006,47.25972994,2004,2004,1259,664,595,0,0,4,595,0,0,591,0,0,4,0,sg_95
HDR,60.16260163,39.83739837,2004,2004,738,444,294,0,0,1,293,0,1,293,0,0,0,0,sg_95
Reference,77.72317772,22.27682228,2535,2523,1221,949,272,0,0,0,272,0,0,272,0,0,0,0,sg_96
HDR,74.96159754,25.03840246,2535,2523,1302,976,326,0,10,2,315,10,1,314,0,0,1,0,sg_96
Reference,76.59574468,23.40425532,2036,2033,94,72,22,0,0,0,22,0,0,22,0,0,0,0,sg_97
HDR,79.51244813,20.48755187,2036,2033,1928,1533,395,0,17,11,378,17,0,367,0,0,11,0,sg_97
Reference,8.35117773,91.64882227,2165,2159,467,39,428,0,53,8,384,36,0,375,8,9,0,0,sg_98
HDR,0.0,100.0,2165,2159,1640,0,1640,0,18,29,1640,0,0,1597,0,14,25,4,sg_98
Reference,25.0,75.0,193,193,4,1,3,0,0,0,3,0,0,3,0,0,0,0,sg_99
HDR,32.41758242,67.58241758,193,193,182,59,123,0,21,6,123,0,0,102,0,15,0,6,sg_99
Reference,0.0,100.0,581,581,5,0,5,0,3,0,2,3,0,2,0,0,0,0,sg_100
HDR,0.17730496,99.82269504,581,581,564,1,563,0,13,3,562,1,0,548,0,11,2,1,sg_100
Reference,35.95322274,64.04677726,3914,3903,3677,1322,2355,0,10,14,2344,0,1,2341,10,0,3,0,sg_101
HDR,51.55555556,48.44444444,3914,3903,225,116,109,0,0,1,109,0,0,108,0,0,1,0,sg_101
Reference,96.0,4.0,1428,1415,75,72,3,0,0,0,3,0,0,3,0,0,0,0,sg_102
HDR,2.13089802,97.86910198,1428,1415,1314,28,1286,0,5,26,1282,3,1,1257,0,0,23,2,sg_102
Reference,22.51655629,77.48344371,3097,3086,302,68,234,0,19,34,203,3,28,181,0,16,6,0,sg_103
HDR,3.76324443,96.23675557,3097,3086,2737,103,2634,0,18,24,2620,0,1,2610,13,0,5,5,sg_103
Reference,66.0,34.0,1920,1917,100,66,34,0,1,1,32,1,1,32,0,0,0,0,sg_104
HDR,80.17817372,19.82182628,1920,1917,1796,1440,356,0,14,11,348,5,1,340,2,0,1,7,sg_104
Reference,55.0,45.0,2013,2001,40,22,18,0,7,0,18,0,0,11,0,7,0,0,sg_105
HDR,83.94683027,16.05316973,2013,2001,1956,1642,314,0,0,20,307,0,7,294,0,0,13,0,sg_105
Reference,38.23529412,61.76470588,1014,1014,34,13,21,0,7,21,0,0,14,0,7,0,0,0,sg_106
HDR,3.52697095,96.47302905,1014,1014,964,34,930,0,0,1,930,0,0,929,0,0,1,0,sg_106
Reference,22.44897959,77.55102041,1102,1100,49,11,38,0,9,11,21,6,11,18,0,3,0,0,sg_107
HDR,54.25837321,45.74162679,1102,1100,1045,567,478,0,22,3,460,17,1,453,0,5,2,0,sg_107
Reference,8.53510896,91.46489104,1809,1799,1652,141,1511,0,1,0,1511,0,0,1510,0,1,0,0,sg_108
HDR,0.0,100.0,1809,1799,146,0,146,0,4,4,142,0,0,142,4,0,0,0,sg_108
Reference,76.31578947,23.68421053,1280,1280,76,58,18,0,0,9,9,0,9,9,0,0,0,0,sg_109
HDR,73.62270451,26.37729549,1280,1280,1198,882,316,0,0,3,315,0,1,313,0,0,2,0,sg_109
Reference,82.699478,17.300522,3592,3592,1341,1109,232,0,13,10,228,3,1,209,0,10,9,0,sg_110
HDR,92.08761734,7.91238266,3592,3592,2237,2060,177,0,0,1,176,0,1,176,0,0,0,0,sg_110
Reference,83.46456693,16.53543307,2344,2344,127,106,21,0,0,0,21,0,0,21,0,0,0,0,sg_111
HDR,87.09530324,12.90469676,2344,2344,2193,1910,283,0,0,2,281,0,2,281,0,0,0,0,sg_111
Reference,15.42518128,84.57481872,1576,1576,1517,234,1283,0,5,2,1277,5,1,1276,0,0,1,0,sg_112
HDR,1.69491525,98.30508475,1576,1576,59,1,58,0,0,0,58,0,0,58,0,0,0,0,sg_112
Reference,4.70257235,95.29742765,3518,3518,2488,117,2371,0,66,35,2282,56,33,2270,0,10,2,0,sg_113
HDR,0.0,100.0,3518,3518,990,0,990,0,0,11,990,0,0,979,0,0,11,0,sg_113
Reference,1.60897123,98.39102877,2477,2476,2051,33,2018,0,16,16,2002,0,0,2002,16,0,0,0,sg_114
HDR,0.0,100.0,2477,2476,425,0,425,0,0,1,425,0,0,424,0,0,1,0,sg_114
Reference,57.65340526,42.34659474,2345,2345,1483,855,628,0,0,1,627,0,1,627,0,0,0,0,sg_115
HDR,10.12805588,89.87194412,2345,2345,859,87,772,0,0,0,772,0,0,772,0,0,0,0,sg_115
Reference,62.96296296,37.03703704,3170,3139,189,119,70,0,16,3,57,11,2,51,0,5,1,0,sg_116
HDR,19.5221843,80.4778157,3170,3139,2930,572,2358,0,34,20,2336,18,4,2304,0,16,16,0,sg_116
Reference,6.79933665,93.20066335,1496,1490,1206,82,1124,0,20,48,1108,1,8,1063,7,12,33,0,sg_117
HDR,0.0,100.0,1496,1490,258,0,258,0,4,5,254,0,0,253,4,0,1,0,sg_117
Reference,59.86394558,40.13605442,1626,1622,147,88,59,0,3,5,52,3,4,51,0,0,1,0,sg_118
HDR,28.38577291,71.61422709,1626,1622,1462,415,1047,0,8,9,1041,3,3,1035,0,0,1,5,sg_118
Reference,17.39427012,82.60572988,1725,1725,1466,255,1211,0,9,32,1193,0,13,1179,5,0,10,4,sg_119
HDR,0.0,100.0,1725,1725,258,0,258,0,0,0,258,0,0,258,0,0,0,0,sg_119
